timestamp,tx,ty,tz,qx,qy,qz,qw
1305031102.175304,0.0,0.0,0.0,-0.0,-0.0,-0.0,1.0
1305031102.411258,-0.005678,0.0112852,0.066324,-0.0223025,-0.0166182,0.0008521,0.9996128
1305031102.443271,-0.0045343,0.0172539,0.0748121,-0.0259465,-0.0207352,0.0015249,0.9994471
1305031102.84329,-0.0035103,0.0306871,0.1970984,-0.0465178,-0.0116312,-0.0009737,0.9988493
1305031102.975203,-0.0182429,0.0404219,0.2323032,-0.044617,-0.0085976,-0.0066907,0.9989448
1305031103.143318,-0.0136292,0.052263,0.2729437,-0.0472731,-0.0261903,0.0043094,0.9985293
1305031104.575343,0.0027006,-0.0380007,-0.0186162,-0.0072219,-0.0261738,-0.011086,0.9995698
1305031104.775327,0.0161855,-0.0471202,-0.0692225,0.0621751,0.0125397,-0.0014164,0.9979855
1305031104.943262,0.0158341,-0.0317369,-0.0816088,0.0920959,0.0305074,0.0086892,0.9952448
1305031106.211275,-0.007066,0.0382357,0.3018758,-0.0664452,0.0008617,0.0201506,0.9975863
1305031108.043418,0.0567525,-0.0199596,0.0240985,0.004723,0.0241235,-0.0219928,0.9994559
1305031108.311332,0.1260977,-0.0121742,0.046642,0.002133,0.0549099,-0.0140648,0.99839
1305031108.611407,0.2266753,-0.009734,0.0613569,-0.0131279,0.0594341,0.0158736,0.9980197
1305031108.911364,0.2687795,-0.0117451,0.0672937,-0.0192081,0.0856839,0.0506231,0.99485
1305031109.411329,0.1398488,0.0022275,0.0488798,-0.0306826,0.0191004,0.0377142,0.9986348
1305031110.643418,-0.233693,0.0279242,0.0637305,-0.0868892,-0.0949438,-0.065112,0.9895436
1305031110.879313,-0.2570839,0.034069,0.0638654,-0.0912142,-0.1061195,-0.0748273,0.9873295
1305031111.111508,-0.2190721,0.0356817,0.0691033,-0.0951283,-0.0974667,-0.0671191,0.9884058
1305031112.211254,0.1518405,0.0013428,0.0744417,-0.0409393,0.0657333,-0.0093072,0.9969536
1305031112.479418,0.2234956,-0.0040956,0.076674,-0.0061181,0.0769332,0.0070474,0.9969926
1305031112.711251,0.2771816,0.000699,0.0729998,-0.0044094,0.0783547,0.0442394,0.9959338
1305031112.979278,0.2445387,0.0063975,0.08067,-0.0277542,0.0686858,0.0464574,0.9961695
1305031113.211259,0.1778032,0.0019121,0.0704572,-0.0358956,0.0505931,0.035148,0.997455
1305031114.644136,-0.2895284,0.0111956,0.0901574,-0.0331148,-0.0766321,-0.0630285,0.9945141
1305031114.879281,-0.2875436,0.0126513,0.0906016,-0.0329394,-0.0947539,-0.0727323,0.9922937
1305031115.11123,-0.2283933,0.0244222,0.1021775,-0.0473095,-0.0900323,-0.0741209,0.9920495
1305031116.24332,0.2012867,0.0191387,0.1474444,-0.0910169,0.0854057,0.0973903,0.987389
1305031116.579313,0.207297,0.0210318,0.132171,-0.0818792,0.1181156,0.1139621,0.9830347
1305031116.880165,0.0897702,0.027998,0.124963,-0.0762722,0.0676378,0.0365621,0.9941182
1305031120.079418,-0.0558075,0.1898688,0.0700569,-0.0950517,-0.0240267,0.0021893,0.99518
1305031120.347787,-0.0516067,0.1574733,0.0779069,-0.0835756,-0.0266609,-0.0011099,0.9961442
1305031123.483594,-0.0507782,0.198774,0.0814891,-0.1071898,-0.0238256,-0.0003412,0.993953
1305031123.751723,-0.0419684,0.2362862,0.0732568,-0.1327882,-0.0120729,0.0143976,0.9909663
1305031124.011302,-0.0441712,0.2361717,0.0753684,-0.1240072,-0.0209732,0.0228437,0.9917966
1305031125.279467,-0.0463402,-0.0950142,0.1860074,-0.0298174,-0.0659477,-0.0076151,0.9973484
1305031125.579308,-0.0490342,-0.1321917,0.2040252,-0.0302728,-0.0352662,-0.0238353,0.9986349
1305031125.879318,-0.0524201,-0.1006065,0.176625,-0.0171431,-0.0413931,-0.0234875,0.9987197
1305031126.779379,-0.033504,0.132648,0.1213687,-0.0991703,-0.0419372,0.0067726,0.9941633
1305031127.079299,-0.0289171,0.1415341,0.1131779,-0.1000188,-0.0344693,0.0123926,0.9943111
1305031127.811829,-0.0344573,0.1079555,0.1316235,-0.0850657,-0.0561053,0.0068684,0.9947708
1305031128.311483,-0.0341239,0.0975599,0.1426938,-0.0892728,-0.0596131,0.0105965,0.9941652
